hour_of_day,avg_temp
0,25.793170731707317
1,25.948064516129033
2,24.78527777777778
3,26.075483870967744
4,24.06382978723405
5,23.71076923076923
6,22.948235294117648
7,27.282432432432426
8,24.210238095238093
9,25.279705882352943
10,25.036176470588234
11,25.74055555555556
12,26.038250000000005
13,26.314137931034484
14,24.981351351351357
15,24.887179487179488
16,24.532600000000013
17,24.93125000000001
18,24.923076923076927
19,24.097021276595754
20,26.293499999999987
21,24.52636363636363
22,26.86458333333333
23,26.22999999999999
